Crop,Variety,Region,Season,Soil_Type,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield
Wheat,Soft Red,Madhya Pradesh,Rabi,Clay,69.07476574,53.95440209,88.0676247,17.26183374,72.94165224,4.631301285,302.842639,5633.46
Tomato,Beefsteak,Madhya Pradesh,Kharif,Clay,107.3293521,70.1021339,32.08106653,21.84611566,99.36195449,4.76165835,94.69384657,32329.9
Sugarcane,Co 86032,Tamil Nadu,Kharif,Clay,130.6346241,67.20453317,28.29425168,33.24689515,81.50683564,6.566007059,83.56368465,88929.17
Sugarcane,Co 0238,Andhra Pradesh,Kharif,Silt,15.16930122,87.49318129,14.33667897,14.39628887,59.27446469,6.296296655,31.50883582,76689.66
Maize,Sweet,Maharashtra,Kharif,Sandy,21.88196508,89.26971211,38.83388532,16.77321764,51.19158385,8.268274388,295.1934819,5385.82
Tomato,Beefsteak,Karnataka,Zaid,Clay,19.66030411,6.616577866,62.18960745,34.06779085,42.67288356,6.442318401,218.1220767,27501.91
Potato,Yukon Gold,Punjab,Rabi,Saline,30.31198595,36.28792089,69.74944172,33.44455101,48.14021863,6.067488809,368.5237415,26160.79
Maize,Sweet,Rajasthan,Kharif,Clay,33.71076415,42.9098339,71.62996626,12.60735361,68.96606127,5.640770086,183.1601316,5663.72
Wheat,Hard Red,Uttar Pradesh,Rabi,Sandy,70.29520498,56.44055353,86.62514467,16.4372026,89.18331637,6.447732038,68.94076393,4751.26
Maize,Flint,Maharashtra,Kharif,Saline,65.33052607,22.7689944,91.22263782,34.77916626,81.8249033,8.233027269,381.8679809,5557.78
Maize,Sweet,Uttar Pradesh,Rabi,Peaty,33.33689111,7.520524234,58.50459051,42.77376426,35.10845995,7.392240525,186.0245495,4880.43
Rice,Basmati,Punjab,Kharif,Silt,87.62082653,78.7476511,36.76699285,34.95071367,39.88932392,8.382784595,236.7498426,6422.35
Sugarcane,Co 99004,Andhra Pradesh,Kharif,Loamy,58.21719164,47.25363471,27.93831645,18.97561429,80.03069241,7.628455249,259.6543233,105294.61
